lemmas,lemmas_text,yapici_mi
"['aycell', 'geçerli', 'hediye', 'alışveriş', 'hediye', 'kullan', 'başar', 'alışveriş', 'tamamla', 'tane', 'mail', 'çeki', 'sonra', 'alışveriş', 'kullan', 'otomatik', 'mesaj', 'gönder', 'son', 'ısrar', 'yaz', 'incele', 'mesaj', 'sefer', 'hemen', 'kapa', 'hiçbir', 'suret', 'gir', 'iyi', 'düşün', 'çabuk', 'değer', 'kaybet', 'göz', 'güncelle', 'mail', 'gün', 'aynı', 'cevap', 'yom']",aycell geçerli hediye alışveriş hediye kullan başar alışveriş tamamla tane mail çeki sonra alışveriş kullan otomatik mesaj gönder son ısrar yaz incele mesaj sefer hemen kapa hiçbir suret gir iyi düşün çabuk değer kaybet göz güncelle mail gün aynı cevap yom,0
"['sozlesmeyi', 'onayla', 'tck', 'atina', 'otomatik', 'kişisel', 'bilgi', 'isle', 'kutu', 'seci', 'hal', 'getir', 'kişisel', 'bilgi', 'isle', 'iste', 'kullan', 'akil', 'kendi', 'zeki', 'san', 'angut', 'selamlarimi', 'ilet', 'üye', 'sil']",sozlesmeyi onayla tck atina otomatik kişisel bilgi isle kutu seci hal getir kişisel bilgi isle iste kullan akil kendi zeki san angut selamlarimi ilet üye sil,0
"['nere', 'canlı', 'destek', 'yok', 'saçma', 'yemin']",nere canlı destek yok saçma yemin,0
"['allah', 'böyle', 'program', 'bela', 'iyi', 'program', 'değil', 'tavsiye', 'arkadaş', 'sakin']",allah böyle program bela iyi program değil tavsiye arkadaş sakin,0
['yok'],yok,0
"['kanka', 'gör', 'banka']",kanka gör banka,0
"['herkes', 'hediye', 'kupon', 'google', 'olay', 'hediye', 'kupon', 'gör', 'fark']",herkes hediye kupon google olay hediye kupon gör fark,0
"['sırf', 'i̇nternet', 'yıldız', 'google', 'play', 'kaydet', 'kart', 'kes', 'kart', 'cep', 'çıkar', 'para', 'kes', 'yerine', 'koyar', 'kes', 'aylık', 'ücret', 'alın', 'belli', 'şekil', 'çıkar', 'aylık', 'ücret']",sırf i̇nternet yıldız google play kaydet kart kes kart cep çıkar para kes yerine koyar kes aylık ücret alın belli şekil çıkar aylık ücret,0
"['paket', 'yükle']",paket yükle,0
"['paycel', 'kart', 'para', 'yükle', 'gün', 'hala', 'tanımla', 'ilgi', 'alaka', 'müşteri', 'memnuniyet', 'sıfır', 'alt', 'tam', 'çöp', 'yara']",paycel kart para yükle gün hala tanımla ilgi alaka müşteri memnuniyet sıfır alt tam çöp yara,0
"['böyle', 'saçmalık', 'turkcell', 'zaman', 'kullan', 'hediye', 'aycell', 'hediye', 'güya', 'isle', 'gercek']",böyle saçmalık turkcell zaman kullan hediye aycell hediye güya isle gercek,0
"['pasif', 'durum', 'fazla']",pasif durum fazla,0
"['başarı', 'diğer', 'herhangi', 'banka', 'kıyas', 'verem', 'kanser', 'kafa', 'karış', 'yor', 'sistem']",başarı diğer herhangi banka kıyas verem kanser kafa karış yor sistem,0
"['vodafone', 'gir']",vodafone gir,0
"['hane', 'şifre', 'gir', 'yaz', 'yer', 'hane', 'şifre', 'girelebiliyo', 'hata']",hane şifre gir yaz yer hane şifre girelebiliyo hata,0
"['rezil', 'insan', 'kan', 'oyala', 'başka', 'işlem', 'tarih', 'yurt', 'dış', 'euro', 'gönder', 'halen', 'şua', 'para', 'yer', 'belli', 'değil', 'karşı', 'muhatap', 'bul', 'mail', 'mail', 'git', 'ara', 'telefon', 'bak', 'kadar', 'rezil', 'insan', 'mağdur']",rezil insan kan oyala başka işlem tarih yurt dış euro gönder halen şua para yer belli değil karşı muhatap bul mail mail git ara telefon bak kadar rezil insan mağdur,0
"['gi̇ri̇ş', 'şi̇fresi̇', 'unut', 'si̇fi̇rlayami̇yorumdaki̇', 'yeniden', 'gi̇ri̇şyapayi̇m', 'gmai̇li̇mi̇', 'deyi̇şdi̇m', 'telefon', 'baştan', 'yapi̇nca', 'yardım', 'yad', 'gir', 'sıfırla', 'yeniden', 'giriş', 'deyişdiyor', 'konu', 'çünki', 'sil', 'hesap', 'yardım', 'sifirlayin']",gi̇ri̇ş şi̇fresi̇ unut si̇fi̇rlayami̇yorumdaki̇ yeniden gi̇ri̇şyapayi̇m gmai̇li̇mi̇ deyi̇şdi̇m telefon baştan yapi̇nca yardım yad gir sıfırla yeniden giriş deyişdiyor konu çünki sil hesap yardım sifirlayin,0
"['hesap', 'biraz', 'zor']",hesap biraz zor,0
"['yara', 'saçma', 'sapan', 'şey', 'var', 'yakın', 'limit', 'var', 'paycel', 'kart', 'bile', 'nafile', 'yıldız', 'bile', 'değ', 'yorum', 'sonra', 'hemen', 'yaz', 'bil', 'site', 'gir', 'işlem', 'hepsi', 'girdi', 'rahat', 'halt', 'saat', 'yakın', 'iletişim', 'numara', 'ara', 'aynı', 'cevap', 'yokkkkk', 'kadar', 'yardimci', 'iste', 'ulaş', 'payne', 'boykot']",yara saçma sapan şey var yakın limit var paycel kart bile nafile yıldız bile değ yorum sonra hemen yaz bil site gir işlem hepsi girdi rahat halt saat yakın iletişim numara ara aynı cevap yokkkkk kadar yardimci iste ulaş payne boykot,0
"['kupa', 'musa', 'diko', 'kod', 'gönder', 'kayıt', 'buka', 'kötü', 'ilk', 'gör']",kupa musa diko kod gönder kayıt buka kötü ilk gör,0
"['hata', 'dolu']",hata dolu,0
"['harca', 'ilgili', 'kısa', 'mesaj', 'bilgi', 'artık', 'gönder', 'ses', 'iste', 'harca', 'ilgili', 'teşekkür']",harca ilgili kısa mesaj bilgi artık gönder ses iste harca ilgili teşekkür,1
"['aycell', 'hesap', 'transfer', 'kart', 'tam', 'para', 'çek', 'para', 'para', 'transfer', 'edemeyeceksematm', 'çek', 'para', 'şirket', 'tip', 'itiraz']",aycell hesap transfer kart tam para çek para para transfer edemeyeceksematm çek para şirket tip itiraz,0
"['kardeş', 'yükle', 'nitelik', 'dolandırıcı', 'yalan', 'dol', 'para', 'hesap', 'doğru', 'işlem', 'aycell', 'ilgili', 'birim', 'mail', 'yol', 'ulaş', 'gün', 'sonra', 'hesabi', 'para', 'yat', 'yat', 'mağdur', 'siz', 'mağdur', 'insan', 'mağdur', 'yara', 'tosun', 'sonra', 'aycell', 'mağdur', 'öde', 'bilgi', 'banka', 'hesap', 'tarz', 'sil']",kardeş yükle nitelik dolandırıcı yalan dol para hesap doğru işlem aycell ilgili birim mail yol ulaş gün sonra hesabi para yat yat mağdur siz mağdur insan mağdur yara tosun sonra aycell mağdur öde bilgi banka hesap tarz sil,0
"['rezalet', 'hane', 'şifre', 'rağmen', 'hane', 'şifre', 'iste', 'hesap', 'don']",rezalet hane şifre rağmen hane şifre iste hesap don,0
"['salla', 'topla', 'sürekli', 'ayni', 'hediye', 'cikiyo', 'yet', 'kadar', 'cimri', 'puan', 'ali', 'taraf', 'sok']",salla topla sürekli ayni hediye cikiyo yet kadar cimri puan ali taraf sok,1
"['tek', 'yara', 'yan', 'aycell', 'kart', 'şok', 'market', 'yer', 'yaygın', 'bulun', 'hariç', 'numara', 'yok', 'turkcell', 'hizmet', 'bile', 'eksik', 'sun', 'menü', 'var', 'finanscell', 'kredi', 'puan', 'göster', 'sun', 'diğer', 'hizmet', 'kurum', 'kendi', 'yad', 'online', 'banka', 'bul']",tek yara yan aycell kart şok market yer yaygın bulun hariç numara yok turkcell hizmet bile eksik sun menü var finanscell kredi puan göster sun diğer hizmet kurum kendi yad online banka bul,0
"['dur', 'yemek', 'para', 'yat', 'harca', 'durum', 'abuk', 'subuk', 'yüz', 'onlarca', 'insan', 'mağdur', 'çöz', 'artık']",dur yemek para yat harca durum abuk subuk yüz onlarca insan mağdur çöz artık,0
"['aycell', 'para', 'gasp', 'resmen', 'iki', 'elektrik', 'fatura', 'odedip', 'biri', 'iade', 'müşteri', 'hizmet', 'uğrastim', 'sonuç', 'yok', 'aycell', 'menü', 'i̇nfo', 'üzeri', 'kaç', 'mail', 'gönder', 'kazara', 'dönüş', 'yapmadılarbtk', 'üzeri', 'kaç', 'şikayet', 'banka', 'ara', 'banka', 'iade', 'belir', 'hak', 'banka', 'dekont', 'iste', 'öyle', 'evrak', 'çık', 'çalış', 'hak', 'helal']",aycell para gasp resmen iki elektrik fatura odedip biri iade müşteri hizmet uğrastim sonuç yok aycell menü i̇nfo üzeri kaç mail gönder kazara dönüş yapmadılarbtk üzeri kaç şikayet banka ara banka iade belir hak banka dekont iste öyle evrak çık çalış hak helal,0
"['yara', 'öde', 'defalarca', 'yardım', 'çalış', 'kere', 'kart', 'yenile', 'uyarı', 'geç', 'üzeri', 'sistem', 'para', 'masraf', 'alt', 'işlem', 'ücret', 'kendi', 'sistem', 'finanscell', 'güvence', 'tahsilat', 'dahi', 'kullan']",yara öde defalarca yardım çalış kere kart yenile uyarı geç üzeri sistem para masraf alt işlem ücret kendi sistem finanscell güvence tahsilat dahi kullan,1
"['hayat', 'böyle', 'rezalet', 'gör', 'eskiden', 'kullaniyodum', 'yükle', 'eposta', 'bil', 'kod', 'bil', 'eposta', 'git', 'yapicam', 'anlam']",hayat böyle rezalet gör eskiden kullaniyodum yükle eposta bil kod bil eposta git yapicam anlam,0
"['temas', 'öde', 'düzgün', 'çalışmıyorpara', 'transfer', 'hala', 'aycell', 'hesap', 'geç', 'düş', 'sür', 'sistem', 'yavaş', 'şikayet', 'bil', 'sek', 'yok', 'koskoca', 'turkcell', 'kaç', 'sene', 'aycell', 'adam']",temas öde düzgün çalışmıyorpara transfer hala aycell hesap geç düş sür sistem yavaş şikayet bil sek yok koskoca turkcell kaç sene aycell adam,0
"['telefon', 'arıza', 'sim', 'kart', 'oku', 'sim', 'kart', 'eski', 'tuş', 'telefon', 'takı', 'wifi', 'gir', 'iste', 'gir', 'yardımcı']",telefon arıza sim kart oku sim kart eski tuş telefon takı wifi gir iste gir yardımcı,0
"['alışveriş', 'aylık', 'sabit', 'ücret', 'kes', 'yem', 'alışveriş', 'komisyon', 'kes', 'rağmen', 'fatura', 'yansı', 'özellik', 'zaman', 'zaman', 'i̇nternet', 'site', 'alışveriş', 'yapıyordumfaturalarımı', 'düzen', 'öde', 'rağmen', 'hat', 'biri', 'limit', 'komik', 'rakam', 'düşür', 'gün', 'müşteri', 'hizmet', 'ara', 'rağmen', 'limit', 'düşür', 'dair', 'bilgi', 'demekki', 'fatura', 'yad', 'öde', 'yanlış', 'işlem', 'çözüm', 'kal', 'yüz', 'hat', 'ait', 'hesap', 'kapa']",alışveriş aylık sabit ücret kes yem alışveriş komisyon kes rağmen fatura yansı özellik zaman zaman i̇nternet site alışveriş yapıyordumfaturalarımı düzen öde rağmen hat biri limit komik rakam düşür gün müşteri hizmet ara rağmen limit düşür dair bilgi demekki fatura yad öde yanlış işlem çözüm kal yüz hat ait hesap kapa,1
"['coooooooooook', 'iyi']",coooooooooook iyi,0
['merhaba'],merhaba,0
"['aycell', 'hesap', 'sil', 'iste', 'sil', 'bil', 'açıkla']",aycell hesap sil iste sil bil açıkla,0
"['güncelle', 'sonra', 'cüzdan', 'gör', 'herşey', 'karmakarışık', 'önce', 'düzel', 'lazım']",güncelle sonra cüzdan gör herşey karmakarışık önce düzel lazım,1
"['puan', 'bird', 'kullan', 'sınır', 'tarih', 'saçma', 'zaman', 'puan', 'yüksek', 'tarih', 'kadar', 'düşük', 'puan', 'bile', 'topluyamiyon']",puan bird kullan sınır tarih saçma zaman puan yüksek tarih kadar düşük puan bile topluyamiyon,1
"['rezalet', 'giriş', 'şifre', 'yenile', 'yine', 'şifre', 'yenile']",rezalet giriş şifre yenile yine şifre yenile,0
"['yetersiz', 'resmen', 'para', 'gaspet', 'para', 'kullan', 'bil', 'başka', 'birey', 'müşteri', 'hizmet', 'ara', 'mail', 'yardımcı', 'hafta', 'ses', 'yok', 'kart', 'git', 'para', 'iste', 'sakın', 'aldan']",yetersiz resmen para gaspet para kullan bil başka birey müşteri hizmet ara mail yardımcı hafta ses yok kart git para iste sakın aldan,0
"['kredi', 'kart', 'yok', 'ihtimal', 'kullan', 'kart', 'kişi', 'tamamen', 'boş', 'sistem']",kredi kart yok ihtimal kullan kart kişi tamamen boş sistem,0
"['öde', ""i̇nternet'ten"", 'alışveriş', 'sürekli', 'başarı', 'hata', 'yazık', 'günah', 'önce', 'kullan', 'artık', 'kesinlikle', 'kullan', 'uğraş', 'değ', 'sürekli', 'sıkıntı', 'var']",öde i̇nternet'ten alışveriş sürekli başarı hata yazık günah önce kullan artık kesinlikle kullan uğraş değ sürekli sıkıntı var,0
['iyi'],iyi,0
"['saati̇r', 'hesap', 'gir', 'cali̇si̇yom']",saati̇r hesap gir cali̇si̇yom,0
"['yeni', 'güncelle', 'kedi', 'acilmiyor', 'güncelle', 'kedi', 'güncelle', 'gozukmiyo', 'bilgi', 'var', 'yasin']",yeni güncelle kedi acilmiyor güncelle kedi güncelle gozukmiyo bilgi var yasin,0
"['hesabi', 'gir', 'başka', 'hesap', 'gir', 'gene', 'hesap', 'gir', 'sorun', 'çöz']",hesabi gir başka hesap gir gene hesap gir sorun çöz,0
"['i̇naktif', 'kart', 'aidat', 'kes', 'mesaj', 'mecburen', 'bilgi', 'var', 'iptal', 'seçenek']",i̇naktif kart aidat kes mesaj mecburen bilgi var iptal seçenek,1
"['turkcell', 'kadar', 'kazık', 'operatör', 'gir', 'nokta', 'buda', 'turkcell', 'gıdı']",turkcell kadar kazık operatör gir nokta buda turkcell gıdı,0
"['mayıs', 'fark', 'bil', 'gece', 'sonra', 'hata', 'mesela', 'kart', 'kısım', 'tıkla', 'ekli', 'kart', 'yok', 'dış', 'sek', 'ara', 'geç', 'saniye', 'bekle', 'beyaz', 'ekran', 'eksik', 'yükle', 'lütfen', 'düzel', 'temmuz', 'sorun', 'hala', 'devam', 'dış', 'puan', 'alın', 'şey', 'hiçbir', 'yara', 'önce', 'play', 'üzeri', 'dijital', 'ürün', 'kaldır', 'gerek']",mayıs fark bil gece sonra hata mesela kart kısım tıkla ekli kart yok dış sek ara geç saniye bekle beyaz ekran eksik yükle lütfen düzel temmuz sorun hala devam dış puan alın şey hiçbir yara önce play üzeri dijital ürün kaldır gerek,1
"['berbat', 'bip', 'aycell', 'yarış', 'kazan', 'hepsipay', 'hediye', 'gör']",berbat bip aycell yarış kazan hepsipay hediye gör,0
"['hiçbir', 'şekil', 'kart', 'para', 'yükle', 'hazır', 'limit', 'hata', 'ayrıca', 'yükle', 'dene', 'para', 'yedi', 'sebep', 'destek', 'kısım', 'siz', 'ulaş', 'dene', 'çök', 'olay', 'son', 'getir', 'güncelle', 'sonuç', 'meydan', 'lütfen', 'yardımcı']",hiçbir şekil kart para yükle hazır limit hata ayrıca yükle dene para yedi sebep destek kısım siz ulaş dene çök olay son getir güncelle sonuç meydan lütfen yardımcı,0
"['rezil', 'kart', 'para', 'yükle', 'turkcell', 'git', 'gerek']",rezil kart para yükle turkcell git gerek,0
"['şifre', 'yenile', 'unut']",şifre yenile unut,0
"['eski', 'posta', 'şifre', 'yenile', 'hesap', 'kar', 'giriş', 'lütfen', 'yardımcı']",eski posta şifre yenile hesap kar giriş lütfen yardımcı,0
